OBJECTID,CITY,CITYCODE,MUNITYPE,DISTRICT,MUNICIPAL,MUNICODE,ACC_INDEX,SUMACCIDEN,INJTOTAL,DEAD,SEVER_INJ,SLIGH_INJ,INJ0_19,INJ20_64,INJ65_,PEDESTRINJ,TOTDRIVERS,VEHICLE,BICYCLE,MOTORCYCLE,PRIVATE,TRUCK
149,מעלה גמלא,4008,מועצה אזורית,צפון,גולן,5571,1.07292305,83,181,0,10,171,39,125,15,1,143,143,0,8,93,7
150,מרום גולן,4101,מועצה אזורית,צפון,גולן,5571,0.698601403,34,88,0,7,81,28,54,1,0,47,47,0,1,28,2
151,נאות גולן,4551,מועצה אזורית,צפון,גולן,5571,0.217941928,4,8,0,3,5,0,2,6,0,7,7,1,0,4,0
152,נוב,4304,מועצה אזורית,צפון,גולן,5571,0.085189648,1,2,0,0,2,1,1,0,0,2,2,0,0,1,0
153,נווה אטיב,4303,מועצה אזורית,צפון,גולן,5571,0.903768564,35,73,2,3,68,18,50,5,2,48,48,0,4,31,2
154,נטור,4014,מועצה אזורית,צפון,גולן,5571,0.104406453,3,5,0,0,5,0,5,0,0,4,4,0,1,3,0
155,עין זיון,4503,מועצה אזורית,צפון,גולן,5571,0.455935464,18,31,0,1,30,4,23,4,0,26,26,0,1,19,2
156,קדמת צבי,4025,מועצה אזורית,צפון,גולן,5571,1.077521139,35,58,2,1,55,12,38,7,2,53,53,1,3,29,0
157,קלע,4024,מועצה אזורית,צפון,גולן,5571,0.673525185,37,67,1,3,63,8,52,6,0,55,55,1,4,37,1
158,קשת,4006,מועצה אזורית,צפון,גולן,5571,0.22108425,13,18,0,0,18,4,11,2,0,17,17,1,2,8,0
159,רמות,4702,מועצה אזורית,צפון,גולן,5571,1.117029695,24,50,1,0,49,16,29,4,0,37,37,0,1,28,0
160,רמת מגשימים,4701,מועצה אזורית,צפון,גולן,5571,0.964014926,9,17,0,1,16,6,9,2,1,14,14,0,0,7,3
161,שטח כללי - גולן,5571,מועצה אזורית,צפון,גולן,5571,0.775455662,69,144,1,6,137,23,112,9,0,102,102,2,1,75,3
162,שעל,4009,מועצה אזורית,צפון,גולן,5571,0.057227849,5,7,0,0,7,2,4,1,0,6,6,0,0,3,2
163,גוש חלב (ג'יש),487,מועצה מקומית,צפון,גוש חלב (גיש),487,7.789115816,55,107,1,8,98,20,78,8,0,93,93,2,2,64,4
164,בית חשמונאי,1050,מועצה אזורית,מרכז,גזר,5530,13.40762914,8,8,0,1,7,0,8,0,1,13,13,1,0,7,2
165,בית עוזיאל,301,מועצה אזורית,מרכז,גזר,5530,4.000184866,15,18,0,0,18,2,15,1,0,33,33,0,0,24,4
166,גזר,370,מועצה אזורית,מרכז,גזר,5530,1.050776225,6,8,0,1,7,2,6,0,0,11,11,0,3,7,1
167,גני הדר,1103,מועצה אזורית,מרכז,גזר,5530,11.06114484,4,6,0,0,6,1,3,1,0,8,8,1,0,5,0
168,גני יוחנן,862,מועצה אזורית,מרכז,גזר,5530,2.619277848,7,9,0,0,9,1,8,0,1,16,16,0,0,15,0
169,חולדה,160,מועצה אזורית,מרכז,גזר,5530,3.740868585,31,47,0,3,44,9,30,8,7,50,50,2,3,30,3
170,"יד רמב""ם",64,מועצה אזורית,מרכז,גזר,5530,31.76268721,119,256,2,11,243,27,202,26,2,279,279,0,7,196,31
171,יציץ,759,מועצה אזורית,מרכז,גזר,5530,6.415890482,16,23,1,2,20,6,17,0,0,27,27,1,2,17,3
172,ישרש,828,מועצה אזורית,מרכז,גזר,5530,52.06803421,149,238,3,5,230,43,170,23,3,319,319,2,14,242,15
173,כפר בילו,177,מועצה אזורית,מרכז,גזר,5530,51.93317612,171,245,1,4,240,21,201,21,8,375,375,3,12,315,5
174,כפר בן נון,2010,מועצה אזורית,מרכז,גזר,5530,0.410696961,2,2,0,0,2,0,2,0,0,4,4,1,0,3,0
175,כפר שמואל,743,מועצה אזורית,מרכז,גזר,5530,18.63141575,94,156,2,10,144,19,125,10,2,176,176,0,5,138,8
176,כרמי יוסף,1264,מועצה אזורית,מרכז,גזר,5530,9.351508352,15,21,0,1,20,1,16,4,1,23,23,0,7,12,0
177,מצליח,757,מועצה אזורית,מרכז,גזר,5530,11.36018384,52,62,0,0,62,10,48,3,1,97,97,1,6,75,2
178,משמר איילון,670,מועצה אזורית,מרכז,גזר,5530,4.907725324,16,23,0,0,23,1,14,7,1,25,25,4,0,13,0
179,משמר דוד,563,מועצה אזורית,מרכז,גזר,5530,8.155350621,55,104,0,6,98,16,76,11,4,109,109,3,4,88,5
180,נוף איילון,1333,מועצה אזורית,מרכז,גזר,5530,12.63702807,6,8,0,0,8,1,6,1,2,8,8,0,0,8,0
181,נען,158,מועצה אזורית,מרכז,גזר,5530,11.63574454,122,185,1,3,181,27,144,11,6,255,255,3,10,190,11
182,נצר סירני,435,מועצה אזורית,מרכז,גזר,5530,4.732383477,12,15,0,0,15,3,11,1,0,20,20,0,1,12,3
183,סתריה,610,מועצה אזורית,מרכז,גזר,5530,22.36171981,86,142,0,1,141,24,110,7,1,190,190,0,9,154,7
184,עזריה,711,מועצה אזורית,מרכז,גזר,5530,3.856391373,13,18,0,0,18,3,14,1,0,22,22,3,0,11,1
185,פדיה,838,מועצה אזורית,מרכז,גזר,5530,2.042890246,6,7,0,0,7,2,4,1,1,12,12,1,0,8,0
186,פתחיה,839,מועצה אזורית,מרכז,גזר,5530,9.822151846,35,68,0,3,65,9,52,7,0,68,68,1,4,50,5
